Id,Subject,TextBody,FromName,FromAddress,ToAddress,Status,MessageDate,CreatedDate,Incoming,HasAttachment,ParentId,RelatedToId,RelatedToType
02sFb4EBYbfUhegQHC,Service update,This is a synthetic message regarding service update. No response is required.,Fenn Q. Esmere-Dell,1333 Taylor Falls,crm-support@example.invalid,Read,2024-04-30T15:21:07Z,2024-04-30T15:02:41Z,1,1,,50082e09MygsdhbQL7,Case
02sn40jVPSl7UxSA1I,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Elari H. Galenor-Fen,98050 Breanna Parkway,crm-support@example.invalid,Sent,2025-12-15T14:49:57Z,2025-12-15T08:00:30Z,1,0,500N6kTOcyZU6YeQYE,021UsjaVO0HzQqsIX9,Opportunity
02s79jKN7fM3IC1APF,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Synthetic CRM Support,402 Peterson Drives,daro-y.hollin-hart.12-5268@example.invalid,Draft,2023-08-25T23:36:06Z,2023-08-25T13:10:59Z,0,0,,500xIf1mAZoffVHAQG,Case
02sMNLF39X4WMWrYPO,Service update,This is a synthetic message regarding service update. No response is required.,Ceryn P. Jassel-Jade,534 Anderson Rue,crm-support@example.invalid,Draft,2023-07-25T08:22:47Z,2023-07-25T19:03:03Z,1,0,,800biHSFweEoDaFI77,Contract
02sVCMSmEB5IGPzI3D,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Synthetic CRM Support,402 Peterson Drives,bexa-g.lioren-lake.14-522@example.invalid,Read,2026-03-20T07:53:45Z,2026-03-20T02:18:09Z,0,1,,01i4tbtlkIVqekKIQW,Opportunity
02scCFhX17dh9SdQCF,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Aven X. Mavren-North,24118 Joseph Rapids,crm-support@example.invalid,Read,2024-05-13T15:07:20Z,2024-05-13T18:05:22Z,1,1,,001RiZCg1UERbAvQWO,Account
02sxE2xn9mHC66WIKI,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Veya N. Orvell-Pine,280 Aguilar Drive,crm-support@example.invalid,Draft,2021-11-14T17:32:48Z,2021-11-14T18:13:50Z,1,0,,51iQD0tQCZ7I9awQN4,Opportunity
02sCuuNzIio6owSQTO,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Synthetic CRM Support,402 Peterson Drives,tovan-e.quillen-reed.17-6747@example.invalid,Read,2022-08-07T21:22:49Z,2022-08-07T23:05:22Z,0,1,,001IqN1uANorRv0AGO,Account
02sET89thLGUfr2Y3M,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Sena V. Rellor-Bay,73375 Hoover Well,crm-support@example.invalid,Read,2024-04-30T04:41:55Z,2024-04-30T09:58:37Z,1,0,50077C3c6mOHdLkY9E,72tZ6yEuwVmNOZmQE1,Order
02slvJ2VWQkz10NYNW,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Synthetic CRM Support,402 Peterson Drives,raviq-m.belnor-elm.19-1299@example.invalid,Sent,2025-04-02T23:41:57Z,2025-04-02T03:17:21Z,0,0,,001f3j7ZUJ5YxijYYQ,Account
02slk3c7EtK421iA3S,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Pella D. Denvik-Glen,6981 Lam Field,crm-support@example.invalid,Read,2026-06-25T03:41:59Z,2026-06-25T07:03:03Z,1,0,500ADdIU2Xid0UkAG3,000xXneMwf8WkNFIAK,Opportunity
02sfM0CE1Z4TOKpAWK,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Orin U. Esmere-Isle,44369 Marshall Mills,crm-support@example.invalid,Draft,2022-09-23T01:19:41Z,2022-09-23T09:04:30Z,1,0,,001cgzJWlSIy1t0I9S,Account
02svnZ1x5V03LgaA4M,Product question,This is a synthetic message regarding product question. No response is required.,Synthetic CRM Support,402 Peterson Drives,nali-l.galenor-knoll.22-8102@example.invalid,Draft,2025-10-24T13:31:42Z,2025-10-24T17:16:09Z,0,0,,001OH94vlTF3MI8Y08,Account
02sF56irkz82GtsYSA,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Synthetic CRM Support,402 Peterson Drives,miren-c.iverne-moor.23-5198@example.invalid,Draft,2022-02-22T19:14:13Z,2022-02-22T07:55:47Z,0,0,500eGVnSvt90kyUIXS,,
02s7VAX9lMZMPjjQH5,Product question,This is a synthetic message regarding product question. No response is required.,Lumo T. Jassel-Oak,7632 Patricia Wall,crm-support@example.invalid,Read,2024-03-17T04:48:58Z,2024-03-17T18:15:05Z,1,1,500dkzlzE9efN5NYEE,701uy02vAEj9sQvINI,Campaign
02s1fuH0OEpEkhwQ7M,Service update,This is a synthetic message regarding service update. No response is required.,Kessa K. Lioren-Quill,734 Jones Heights,crm-support@example.invalid,Sent,2023-11-18T05:42:05Z,2023-11-18T18:02:18Z,1,0,500vLM8O4lxkOE4QVS,506NpocNdGAATxXY9N,Opportunity
02sVbKLpE0GpSYUQTW,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Jorin B. Norrell-Ash,8893 Robinson Mews,crm-support@example.invalid,Draft,2024-05-26T14:41:50Z,2024-05-26T10:48:26Z,1,0,,72iELLOBDcXDk49AIU,Opportunity
02sZ1bjl9vMrsHiA1R,Product question,This is a synthetic message regarding product question. No response is required.,Ivara S. Orvell-Crest,5564 King Common,crm-support@example.invalid,Read,2023-06-26T19:31:25Z,2023-06-26T00:09:24Z,1,1,500Q3HBMWyorPWfIMP,816ub6hPcL9xyf9IYI,Opportunity
02slvminvBGfxLjITY,Service update,This is a synthetic message regarding service update. No response is required.,Synthetic CRM Support,402 Peterson Drives,fenn-j.quillen-elm.28-1707@example.invalid,Draft,2025-02-19T23:46:39Z,2025-02-19T09:11:04Z,0,0,,,
02sLprOgtROghyiI7Q,Service update,This is a synthetic message regarding service update. No response is required.,Elari A. Aldren-Hart,99124 Beth Inlet,crm-support@example.invalid,Read,2023-04-02T17:12:50Z,2023-04-02T15:09:38Z,1,0,500yz5x2f6xYJ9HIUU,01ti4FfLefoJftJAYI,Product2
02sOXZuRGaRq2wAIM6,Service update,This is a synthetic message regarding service update. No response is required.,Synthetic CRM Support,402 Peterson Drives,daro-r.belnor-jade.30-6535@example.invalid,Read,2021-11-09T18:33:32Z,2021-11-09T15:04:16Z,0,1,500GhzMxQjRzvYsA0M,001ckBA83DHLBWZQQX,Account
02sCXeW4IVH5XthILB,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Ceryn I. Denvik-Lake,7262 Gilbert Plain,crm-support@example.invalid,Sent,2022-05-15T23:24:19Z,2022-05-15T05:57:36Z,1,0,,011EaMcsl7WkDv4YXK,Order
02sox1bdynzOISjQHU,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Synthetic CRM Support,402 Peterson Drives,bexa-z.esmere-north.32-4035@example.invalid,Draft,2023-05-03T21:42:49Z,2023-05-03T16:32:05Z,0,0,5007JOXzbbYag7mYFT,701baEWnGlBqdzhA9Z,Campaign
02slPin0Zk36qAbAHW,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Aven Q. Galenor-Pine,313 Freeman Trace,crm-support@example.invalid,Sent,2023-01-19T08:21:45Z,2023-01-19T18:01:33Z,1,0,500pYtWeO5Qc4xwQCB,500MUe8HHkY6owUI52,Case
02sg5E5zPCpz0lXQVU,Service update,This is a synthetic message regarding service update. No response is required.,Synthetic CRM Support,402 Peterson Drives,veya-g.iverne-reed.34-1093@example.invalid,Draft,2023-06-24T22:38:35Z,2023-06-24T02:45:48Z,0,0,500dPsbFO6pKoQjQKF,01taG1hPSd1cWC7Y2A,Product2
02syUvWRgeEJqUMYGW,Product question,This is a synthetic message regarding product question. No response is required.,Tovan X. Jassel-Bay,3135 Julia Track,crm-support@example.invalid,Read,2023-03-01T21:17:44Z,2023-03-01T04:55:02Z,1,1,,01t7uoJkYp0qlw7YJC,Product2
02sjjlL528FeRtfATS,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Synthetic CRM Support,402 Peterson Drives,sena-o.lioren-dell.36-7493@example.invalid,Read,2023-03-11T09:33:18Z,2023-03-11T22:46:41Z,0,1,,,
02sKqg8A7g0ZngcA16,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Synthetic CRM Support,402 Peterson Drives,raviq-f.norrell-fen.37-3848@example.invalid,Draft,2022-07-14T06:50:41Z,2022-07-14T10:03:44Z,0,0,500bhkxDOvAdKVOYAL,701Dpaw66va6dUvYOQ,Campaign
02sTKpIWUOU7tJgYW7,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Synthetic CRM Support,402 Peterson Drives,pella-w.orvell-hart.38-6798@example.invalid,Sent,2025-10-01T14:05:11Z,2025-10-01T21:41:25Z,0,0,500WwhEqgNdIZhZIZ9,500b2RmBNYambnCQ4P,Case
02snhDmbxgbUGimQXS,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Orin N. Quillen-Jade,477 Peterson Center,crm-support@example.invalid,Draft,2024-07-18T23:00:15Z,2024-07-18T11:54:40Z,1,1,,,
02sL7qie4Qee4bsQOJ,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Nali E. Aldren-Moor,9649 Chelsea Streets,crm-support@example.invalid,Sent,2024-05-03T10:47:35Z,2024-05-03T23:50:48Z,1,0,,016646B4me1oKQSY7Y,Opportunity
02sCxXks3sSCkzjQ3A,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Synthetic CRM Support,402 Peterson Drives,miren-v.belnor-oak.41-5225@example.invalid,Draft,2021-07-27T07:13:54Z,2021-07-27T08:10:03Z,0,0,5004Bk58CafHvtbY9T,50itVUNBfDJtJUBIBR,Opportunity
02s2bUFKGtlSE2RAOY,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Lumo M. Denvik-Quill,24210 Laura Ranch,crm-support@example.invalid,Read,2024-01-12T23:56:11Z,2024-01-12T03:44:16Z,1,0,,701AQ2IkwyckslOQQH,Campaign
02smSEI3z2ydIFtIG6,Product question,This is a synthetic message regarding product question. No response is required.,Kessa D. Farlowe-Ash,96717 Ortiz Islands,crm-support@example.invalid,Read,2025-12-24T05:30:37Z,2025-12-24T18:02:03Z,1,0,,001CWFhyR8QJd16AFG,Account
02s05bjUwh5DTRiABW,Service update,This is a synthetic message regarding service update. No response is required.,Jorin U. Galenor-Crest,34824 Gilmore Oval,crm-support@example.invalid,Read,2022-07-08T13:10:02Z,2022-07-08T20:45:44Z,1,1,500WDfnDhythQYjIAW,001181P9BD1hpxgATH,Account
02sKtjqMzdzLxAwYAB,Service update,This is a synthetic message regarding service update. No response is required.,Synthetic CRM Support,402 Peterson Drives,ivara-l.iverne-elm.45-3430@example.invalid,Draft,2022-08-21T22:39:33Z,2022-08-21T13:41:24Z,0,0,,5001fwepBWA5a9AQZE,Case
02saTQhBumJ6p51IBJ,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Synthetic CRM Support,402 Peterson Drives,fenn-c.kelmere-glen.46-5476@example.invalid,Read,2025-04-14T18:16:37Z,2025-04-14T07:55:10Z,0,0,500G0szbsafdGexYPU,500BgFwbAr2AAYXI1L,Case
02sqC4giKHniw0OQNK,Product question,This is a synthetic message regarding product question. No response is required.,Elari T. Lioren-Isle,821 Barton Walk,crm-support@example.invalid,Sent,2022-05-28T11:15:13Z,2022-05-28T21:47:19Z,1,0,,02iwzPpbZid2nGZAQZ,Asset
02sj61qP1FP5U1tQ8R,Product question,This is a synthetic message regarding product question. No response is required.,Synthetic CRM Support,402 Peterson Drives,daro-k.norrell-knoll.48-6793@example.invalid,Sent,2024-02-20T13:31:02Z,2024-02-20T16:12:50Z,0,0,,500bA9JabGkX7DOYLZ,Opportunity
02szbkk12gOZDYEYVL,Product question,This is a synthetic message regarding product question. No response is required.,Ceryn B. Prynn-Moor,6627 David Ramp,crm-support@example.invalid,Read,2025-01-23T21:20:20Z,2025-01-23T11:20:03Z,1,0,,,
02scVJpE7Cy36A7QLY,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Bexa S. Quillen-Oak,3161 Scott Square,crm-support@example.invalid,Read,2026-01-04T17:45:33Z,2026-01-04T23:44:03Z,1,1,,52iY0EY8x9pR4n7Y5H,Order
02sRJPLADW2cXgkI8F,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Synthetic CRM Support,402 Peterson Drives,aven-j.aldren-reed.51-8375@example.invalid,Draft,2024-02-21T11:22:32Z,2024-02-21T09:41:31Z,0,0,,500yFDPpvwtwDZOAGP,Case
02s2vZaYyzHyp7oQMB,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Synthetic CRM Support,402 Peterson Drives,veya-z.belnor-bay.52-3857@example.invalid,Sent,2024-07-19T22:23:50Z,2024-07-19T01:18:29Z,0,0,500eCkmJvZHa8lYIZJ,001FzQ1Vu9hM4AsIVS,Account
02sGcaKZl2lCXm1AKK,Service update,This is a synthetic message regarding service update. No response is required.,Tovan Q. Denvik-Dell,7407 Byrd Estate,crm-support@example.invalid,Draft,2025-09-13T22:05:29Z,2025-09-13T21:56:12Z,1,1,500npyDXoXCVvMGIW4,701AcNdUdlGkwlmYGW,Campaign
02s9X8FdrD3YMIrYPF,Product question,This is a synthetic message regarding product question. No response is required.,Sena H. Farlowe-Fen,097 Parsons Forks,crm-support@example.invalid,Draft,2024-03-18T03:26:19Z,2024-03-18T10:23:49Z,1,0,,,
02sh1MGBTCAoTGhAB1,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Raviq Y. Galenor-Hart,4517 Donald Fork,crm-support@example.invalid,Draft,2024-11-16T02:49:16Z,2024-11-16T00:42:09Z,1,0,500ykliBCXgWhYkISA,001b6L8DlV1y2PzQXZ,Account
02syny2nZufOtJ8Q6F,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Pella P. Iverne-Jade,4612 Sophia Hollow,crm-support@example.invalid,Draft,2022-07-29T15:05:41Z,2022-07-29T14:48:27Z,1,1,500t9HdlkPT29efAR2,701b2KXlxLkodl3QU6,Campaign
02scuXxrEyIxdqGA3Q,Service update,This is a synthetic message regarding service update. No response is required.,Synthetic CRM Support,402 Peterson Drives,orin-g.kelmere-lake.57-9154@example.invalid,Sent,2023-10-16T03:32:44Z,2023-10-16T20:37:08Z,0,1,,,
02scsZLoftRYqQpQ1X,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Synthetic CRM Support,402 Peterson Drives,nali-x.lioren-north.58-4711@example.invalid,Sent,2022-11-16T21:39:58Z,2022-11-16T03:17:06Z,0,0,,02iCL3HrkaWX4zVQXO,Asset
02s7CooySeSpxhUIEY,Product question,This is a synthetic message regarding product question. No response is required.,Miren O. Norrell-Pine,3171 Darlene Ranch,crm-support@example.invalid,Sent,2022-07-13T02:10:18Z,2022-07-13T08:11:12Z,1,0,500aQIdYV4WZEUIIOP,,
02sTnovZMZQTNmmQQ1,Service update,This is a synthetic message regarding service update. No response is required.,Lumo F. Prynn-Reed,95024 David Manor,crm-support@example.invalid,Draft,2026-01-16T07:05:41Z,2026-01-16T05:49:51Z,1,0,,50069N7JToXvkbQIJL,Case
02symmSB0ZexofPYRU,Service update,This is a synthetic message regarding service update. No response is required.,Kessa W. Quillen-Bay,985 Vang Pines,crm-support@example.invalid,Read,2021-05-06T01:31:54Z,2021-05-06T05:19:38Z,1,0,,800T5EwQaV6BhkSI5T,Contract
02s8uz4PEBPkJQnIKJ,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Synthetic CRM Support,402 Peterson Drives,jorin-n.aldren-elm.62-289@example.invalid,Read,2024-12-06T09:13:27Z,2024-12-06T09:39:05Z,0,0,,0016qNzHRpaK4VVIC7,Account
02sAlMVPjt3D8M5IB6,Service update,This is a synthetic message regarding service update. No response is required.,Synthetic CRM Support,402 Peterson Drives,ivara-e.corven-glen.63-4896@example.invalid,Read,2021-06-28T14:42:44Z,2021-06-28T20:31:16Z,0,0,500lh6xubYwms8cIH5,,
02sPESUj8K2yQ95YGH,Product question,This is a synthetic message regarding product question. No response is required.,Synthetic CRM Support,402 Peterson Drives,fenn-v.denvik-isle.64-8588@example.invalid,Read,2022-02-12T11:41:03Z,2022-02-12T06:07:41Z,0,0,,021eKdhMYbzXcloIFK,Opportunity
02suPUjk0FuiIrWAZB,Service update,This is a synthetic message regarding service update. No response is required.,Synthetic CRM Support,402 Peterson Drives,elari-m.farlowe-knoll.65-3428@example.invalid,Read,2022-02-20T14:22:11Z,2022-02-20T03:15:18Z,0,0,,70trphiT60GMX0jQVT,Opportunity
02sUFrKqfoMhSksAPK,Service update,This is a synthetic message regarding service update. No response is required.,Synthetic CRM Support,402 Peterson Drives,daro-d.hollin-moor.66-5500@example.invalid,Sent,2025-08-25T23:42:04Z,2025-08-25T05:53:25Z,0,0,,82tPtrVmmPDvG8BAW9,Opportunity
02sc4y3kSoxo3IEY5G,Product question,This is a synthetic message regarding product question. No response is required.,Ceryn U. Iverne-Oak,098 Santiago Loop,crm-support@example.invalid,Sent,2025-01-28T15:05:38Z,2025-01-28T06:15:29Z,1,0,,001jsWcaI2ueqNkQ4J,Account
02svF6TDu7kH3UOILW,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Bexa L. Kelmere-Quill,4550 Molly Port,crm-support@example.invalid,Read,2025-04-17T21:41:13Z,2025-04-17T04:01:22Z,1,0,,701uy02vAEj9sQvINI,Campaign
02suGpqRHTbdzuXQI9,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Synthetic CRM Support,402 Peterson Drives,aven-c.mavren-ash.69-5498@example.invalid,Draft,2024-03-26T02:13:40Z,2024-03-26T04:01:43Z,0,1,,001cgzJWlSIy1t0I9S,Account
02sRbkGdGNnHlfgA1H,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Synthetic CRM Support,402 Peterson Drives,veya-s.norrell-crest.70-9014@example.invalid,Draft,2022-03-11T01:34:30Z,2022-03-11T04:50:38Z,0,1,,500Cxea3n60DlKZQZ6,Case
02sJgrQFpbmWlKsI6S,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Tovan J. Prynn-Elm,156 Justin Springs,crm-support@example.invalid,Draft,2024-01-15T00:53:13Z,2024-01-15T15:53:29Z,1,0,5004osPKEiYYxafYW9,001C3SilogoPTPGIWX,Account
02sxBEYOqva6DStIBW,Product question,This is a synthetic message regarding product question. No response is required.,Synthetic CRM Support,402 Peterson Drives,sena-a.rellor-glen.72-7639@example.invalid,Sent,2024-11-27T12:52:52Z,2024-11-27T04:30:56Z,0,0,,500bDOJ9n7sfcP9QS3,Case
02sTfVlnoWGzYE2Y3X,Service update,This is a synthetic message regarding service update. No response is required.,Synthetic CRM Support,402 Peterson Drives,raviq-r.aldren-jade.73-4247@example.invalid,Sent,2021-06-07T16:04:56Z,2021-06-07T12:53:06Z,0,0,,821rutR1vVYYPv7Q11,Opportunity
02sbwEB4I7ZmqlBIZS,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Synthetic CRM Support,402 Peterson Drives,pella-i.corven-lake.74-3660@example.invalid,Read,2021-12-28T13:21:20Z,2021-12-28T11:05:12Z,0,0,,02ivLVhXP9o93abISP,Asset
02sAVft4TcZpfBeI51,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Orin Z. Denvik-North,1596 Mckinney Mall,crm-support@example.invalid,Sent,2022-02-02T18:34:41Z,2022-02-02T11:07:12Z,1,0,,0018YzqdxvbgCoaYQU,Account
02s9EZcnq0usMEGYGZ,Product question,This is a synthetic message regarding product question. No response is required.,Nali Q. Farlowe-Pine,88355 Joel Drive,crm-support@example.invalid,Read,2025-10-20T06:07:09Z,2025-10-20T00:44:28Z,1,0,,500REMG5fk9yOgbAWP,Case
02slhVDJIV244d8IN7,Service update,This is a synthetic message regarding service update. No response is required.,Miren H. Hollin-Reed,0054 Deanna Walk,crm-support@example.invalid,Read,2024-01-25T20:57:38Z,2024-01-25T13:16:52Z,1,1,,001gQSNxeXgntf7YR3,Account
02sb84caLcZXhYgY37,Service update,This is a synthetic message regarding service update. No response is required.,Lumo Y. Iverne-Bay,255 Hughes Trail,crm-support@example.invalid,Sent,2022-09-06T22:04:24Z,2022-09-06T19:12:06Z,1,1,500Q3HBMWyorPWfIMP,01tF1U6IygSY9tvA1Q,Product2
02sfIhKbjsIyk19II1,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Synthetic CRM Support,402 Peterson Drives,kessa-p.kelmere-dell.79-7087@example.invalid,Draft,2024-02-22T08:16:22Z,2024-02-22T21:43:32Z,0,0,,800rh1eUCczpRsCIIK,Contract
02sH0q6gH2QKGOAAUB,Product question,This is a synthetic message regarding product question. No response is required.,Jorin G. Mavren-Fen,2816 Smith Inlet,crm-support@example.invalid,Draft,2026-02-26T00:54:24Z,2026-02-26T22:06:03Z,1,1,,816QSg0GF2pqQnfIKH,Opportunity
02shzDQ7Jy6itF5ADK,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Synthetic CRM Support,402 Peterson Drives,ivara-x.norrell-hart.81-4944@example.invalid,Sent,2025-10-12T11:09:03Z,2025-10-12T08:42:16Z,0,0,,500L7DYTbWXQrqWQBW,Case
02sDMBvtnUA3c6MQ6J,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Synthetic CRM Support,402 Peterson Drives,fenn-o.prynn-jade.82-4583@example.invalid,Read,2024-09-27T04:14:10Z,2024-09-27T09:06:49Z,0,0,,,
02sGgrxxclWf0XuY4A,Service update,This is a synthetic message regarding service update. No response is required.,Synthetic CRM Support,402 Peterson Drives,elari-f.rellor-lake.83-4810@example.invalid,Sent,2022-02-14T14:40:42Z,2022-02-14T12:58:50Z,0,1,,0018sCn7wzuyGKcIWS,Account
02sGR33dtdhzcCfQOM,Product question,This is a synthetic message regarding product question. No response is required.,Synthetic CRM Support,402 Peterson Drives,daro-w.aldren-oak.84-6621@example.invalid,Sent,2024-04-24T18:39:22Z,2024-04-24T15:13:30Z,0,0,500GCGb4idCYTY1YX3,02ibbsvIq06BOL0IRO,Asset
02sqcXe8tBRFAPWAI1,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Ceryn N. Corven-Quill,379 Goodwin Tunnel,crm-support@example.invalid,Draft,2024-04-17T13:25:03Z,2024-04-17T13:29:55Z,1,0,5005xsTZYELfW6OYY9,001KqKN8Jf0F9i9AKQ,Account
02sRcO3ScBZwjCPY5Y,Product question,This is a synthetic message regarding product question. No response is required.,Synthetic CRM Support,402 Peterson Drives,bexa-e.esmere-ash.86-177@example.invalid,Draft,2023-11-01T23:58:13Z,2023-11-01T18:33:28Z,0,1,,500c0lCUHwglMPlQNP,Case
02sw9Quo2PuHlCUQIR,Service update,This is a synthetic message regarding service update. No response is required.,Aven V. Farlowe-Crest,47826 Stacey Forges,crm-support@example.invalid,Sent,2024-06-29T01:20:03Z,2024-06-29T11:30:16Z,1,1,,71679mxPtua95V1Q1P,Order
02sZm7SLdcj2dPDYQN,Product question,This is a synthetic message regarding product question. No response is required.,Veya L. Hollin-Elm,89861 Young Crossing,crm-support@example.invalid,Draft,2025-12-29T19:45:17Z,2025-12-29T00:37:16Z,1,0,500P67xIKZ1JdIXQB0,02iwRwMCv4p24IEAXX,Asset
02sqtcU7I6XArz3QRP,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Synthetic CRM Support,402 Peterson Drives,tovan-c.jassel-glen.89-1441@example.invalid,Draft,2024-08-05T22:53:50Z,2024-08-05T20:17:25Z,0,0,500dsU0egHvGCmjYEW,01t0wjd70NYkcAlQRW,Order
02sbZVkXbax95ENI75,Product question,This is a synthetic message regarding product question. No response is required.,Sena T. Kelmere-Isle,1888 Peter Mountains,crm-support@example.invalid,Sent,2025-08-25T21:17:00Z,2025-08-25T22:26:20Z,1,0,,500irg3eBCKlFLkYFE,Case
02sehW57kq8LJWzI7P,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Synthetic CRM Support,402 Peterson Drives,raviq-k.mavren-knoll.91-6184@example.invalid,Draft,2024-01-06T13:34:09Z,2024-01-06T01:15:23Z,0,0,,001eMGa7Y6CNd3wIQE,Account
02smLGJoCKeTDUfI8O,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Synthetic CRM Support,402 Peterson Drives,pella-b.orvell-moor.92-6088@example.invalid,Draft,2022-09-22T13:40:10Z,2022-09-22T21:56:20Z,0,0,,5008I5Gs9l2MWlAQ6U,Case
02s9xKoyesfvDQXQBG,Product question,This is a synthetic message regarding product question. No response is required.,Orin S. Prynn-Oak,0430 Nina Island,crm-support@example.invalid,Sent,2021-10-25T00:11:51Z,2021-10-25T16:08:31Z,1,0,,001dVg5Hd2ux7OeY11,Account
