Id,CaseNumber,Subject,Status,Priority,Origin,Type,Reason,SuppliedName,SuppliedEmail,Description,ClosedDate,CreatedDate,IsClosed,AccountId,AssetId,ContactId,ParentId,ProductId
500X7i7qKHlXs6uI1D,33,Billing question,Closed,Medium,Phone,Feature Request,Installation,Erica S. Fuller,erica-s.fuller.95-9132@example.invalid,Request for assistance with billing question in a synthetic environment.,2022-03-01T05:19:33Z,2022-02-25T08:54:48Z,1,001ZmXb9rhCguMsYOS,02ipFQ2mDs8eCxEAZN,003Q9gnyJ2qjiJxQ4D,,01tPHiS44NBUdL8I3C
500KKTvtmkjo5hTQOJ,34,Performance review,Working,Low,Email,Question,Performance,Krystal B. Baker,krystal-b.baker.22-1210@example.invalid,Request for assistance with performance review in a synthetic environment.,,2024-06-14T21:12:37Z,0,001oPLQgL6DtzXuQJ9,02i8ceLoaWfliMHQHW,003epRpQJrSFaXzIDT,,
500lcMDTKENnrsfIBA,35,Performance review,New,Low,Email,Feature Request,Installation,Derek K. Watson,derek-k.watson.31-9004@example.invalid,Request for assistance with performance review in a synthetic environment.,,2022-04-15T05:54:44Z,0,001PUaO8FLbQ5tuY7R,,003Mq3yB1QMrWPSAUJ,,01tow8y2sel8hLYA1C
500e6bVSrhd4CaaIF4,36,Performance review,Closed,Low,Web,Question,Other,Jamie A. Willis,jamie-a.willis.92-7935@example.invalid,Request for assistance with performance review in a synthetic environment.,2025-03-07T10:46:13Z,2025-03-05T23:53:03Z,1,001x4qMeufUWlfdINO,02i0QpauA0Sado8Y3C,003uXPAjP3crKTbIVX,,01tdhEbnzCx9gZmI0N
500R3kcIliBLLjYYEU,37,Performance review,Working,Medium,Email,Question,Installation,William T. Hayes,william-t.hayes.37-0025@example.invalid,Request for assistance with performance review in a synthetic environment.,,2026-03-11T16:51:50Z,0,001IqN1uANorRv0AGO,02i0ItomR5IgnotYFC,003ehVb8mehm9CHABD,,01tEGaSJJp85Ed1I1V
500aJvIczHCrt6KY7Q,38,Access configuration,Working,High,Phone,Problem,User Education,Danny D. Jordan,danny-d.jordan.12-9224@example.invalid,Request for assistance with access configuration in a synthetic environment.,,2023-07-08T05:10:36Z,0,001xCcjaWJxjfQtAJX,02iQGqsq9z65NC9IQX,003CBTA7ejmf7lHQB2,500J4iAdN9bfDmoQS2,01tmpCk8Z1bGpy6A1T
5005eyhMNKzlXA6IQ1,39,Service request,New,High,Phone,Problem,User Education,Brett S. Burke,brett-s.burke.40-0877@example.invalid,Request for assistance with service request in a synthetic environment.,,2021-11-10T07:53:00Z,0,001qdzVzEft9QHHY1E,02icFWgZiKYRZljASV,003S8wRLfGomGFCAY7,,01t85nYRxCpN60QICS
5000JR0wpduyIMRAY3,40,Performance review,Closed,Medium,Web,Question,Performance,Alyssa T. Barnes,alyssa-t.barnes.63-3406@example.invalid,Request for assistance with performance review in a synthetic environment.,2022-01-14T14:32:28Z,2021-12-26T02:25:18Z,1,001MT8Df5qbnGRWI8L,,003P4MTvFelGRodQ08,,01tZQBSs1fvhCTNICA
500bGqS1lsHSLAYY1R,41,Access configuration,Working,High,Phone,Feature Request,Performance,Randall T. Smith,randall-t.smith.86-6926@example.invalid,Request for assistance with access configuration in a synthetic environment.,,2026-06-25T11:57:02Z,0,001Xr4ot1oG2AteQ4O,02i9JI58I7TMCN7IXU,003cY9Ue1pm5uCzQZI,,
5001W3MIFKyYlEgISF,42,Performance review,Escalated,High,Web,Problem,Performance,Laurie B. Collier,laurie-b.collier.25-1702@example.invalid,Request for assistance with performance review in a synthetic environment.,,2021-12-04T22:29:38Z,0,001RGWydjko0QMRY5C,02ijkRagLTY7k81Y4Q,003CM9mmOrCSrVvYCN,,01trSqsaQ6MiK9TAAL
500aYOs4vphPc8VAAP,43,Service request,Working,Low,Phone,Question,Other,Charles M. Marshall,charles-m.marshall.42-7681@example.invalid,Request for assistance with service request in a synthetic environment.,,2022-12-17T00:48:17Z,0,001tvKQbYklnB9tY2P,02iPhieNlmhDd8QYMX,0036ZO11O9MlwGGARL,,01twCEcgDDkMd9pACR
500TTBnCYv6QVT9ILH,44,Service request,Escalated,High,Email,Feature Request,Installation,Angela W. Cole,angela-w.cole.81-4325@example.invalid,Request for assistance with service request in a synthetic environment.,,2021-09-06T20:01:12Z,0,00142tCTlA12GP8QFU,,003Vic5uKMJIlQrAZ7,500eYIFFs8Ve4zGQ4K,01thBQZLD1IHHQYICZ
500A5ZOUTr6H8cVIZY,45,Service request,Working,Medium,Email,Question,Performance,Deborah R. Rivera,deborah-r.rivera.28-1708@example.invalid,Request for assistance with service request in a synthetic environment.,,2021-09-29T12:56:59Z,0,001yQSD3rwvt3ZBAV9,02iAIk6gkuMal4YYSY,,,01tOD1lP4jnWx0CIDK
500jc4H5SSAqJggIGM,46,Integration setup,New,Low,Phone,Problem,Installation,James J. Moore,james-j.moore.57-5290@example.invalid,Request for assistance with integration setup in a synthetic environment.,,2024-06-02T02:56:13Z,0,001j6nRokzRlCs1Y07,02id6nrW1DTVCn8AYW,003yaseL1v2yPSmYJM,,01tTLO3VWSQ2BwfY01
500m10IM25HkjX4QW8,47,Access configuration,Working,Low,Email,Question,Installation,Rebecca R. Richardson,rebecca-r.richardson.88-8229@example.invalid,Request for assistance with access configuration in a synthetic environment.,,2021-10-05T16:43:39Z,0,001JM2vogN0dvJhQHI,02iATgzyr7szFWqYDN,003n1jeyVachCmzIYQ,,01taG1hPSd1cWC7Y2A
500Cxea3n60DlKZQZ6,48,Performance review,Escalated,Low,Web,Feature Request,Installation,Randy M. Young,randy-m.young.48-4671@example.invalid,Request for assistance with performance review in a synthetic environment.,,2024-05-16T09:19:15Z,0,001tvKQbYklnB9tY2P,02iBxcvcsHQkVsmY5W,003NY4p4a4XHJvOQAQ,,01tJs4IP4KXGpqSYC5
500RRYEc9T8FCZBATT,49,Access configuration,Closed,Low,Web,Problem,Performance,Mary C. Carlson,mary-c.carlson.06-361@example.invalid,Request for assistance with access configuration in a synthetic environment.,2025-04-10T00:59:42Z,2025-03-29T02:18:01Z,1,001IZMzpc9F1Z8oAA7,02iqOReUuID81gNASH,003WGGhN9vqGYtMIBS,500H7XPgiRwdg57AWD,01tNyyCG557IZVJAMV
500TvBgkGMg0SsWAK9,50,Service request,Closed,Medium,Phone,Problem,Other,Allen D. Cooper,allen-d.cooper.03-0420@example.invalid,Request for assistance with service request in a synthetic environment.,2026-05-20T11:08:07Z,2026-05-19T05:42:52Z,1,001f3j7ZUJ5YxijYYQ,02iMLCAabcMXXzsI6L,003TzZb7WHFRbgHIUO,,01tQBzLTuDrA4rIY2R
500A4czPWulz2tYQ6S,51,Access configuration,New,Medium,Email,Problem,User Education,Benjamin R. Mitchell,benjamin-r.mitchell.02-4731@example.invalid,Request for assistance with access configuration in a synthetic environment.,,2021-10-26T08:39:56Z,0,001IGpX26HWSL0HQPY,02idUm4LA8hjeYzAXD,,500H7XPgiRwdg57AWD,01t4NYEPhUw9BamICS
500lJ3YQ6I7I8yZIKO,52,Billing question,Closed,Medium,Web,Feature Request,Installation,Scott A. Williams,scott-a.williams.12-7119@example.invalid,Request for assistance with billing question in a synthetic environment.,2024-06-17T12:17:01Z,2024-05-31T18:24:53Z,1,001KInyPfEAkhgcQEO,02ieWj9zHWllVG0QZG,0039c0qERICaKo4AJ8,,01thBQZLD1IHHQYICZ
5001fC6x5AohGAcYO2,53,Access configuration,Working,Medium,Web,Question,Performance,Alyssa M. Edwards,alyssa-m.edwards.44-1714@example.invalid,Request for assistance with access configuration in a synthetic environment.,,2023-09-08T07:11:19Z,0,001KQsenOWHB4fuQM5,02iGkiasF1MKR7bQMN,003Jyxeap6vvFMFQUT,,01tnh7cbKXHRNwtAHZ
500qHQiMMzPNqAXQI9,54,Billing question,Escalated,Low,Web,Question,Performance,Jenna J. Vance,jenna-j.vance.10-1007@example.invalid,Request for assistance with billing question in a synthetic environment.,,2025-03-26T00:10:04Z,0,00134kztbICJD2tYCZ,02iegnZ9rKqtmcVY78,0032GzHIi5eWKRVYVK,,01tvrfAHswk6XJ6AVT
5001WvXUUxPvpZYQ6O,55,Service request,Escalated,High,Phone,Question,User Education,Charles J. Day,charles-j.day.05-9322@example.invalid,Request for assistance with service request in a synthetic environment.,,2024-01-27T13:20:10Z,0,0015Cr2vcIsO2EGY08,02ia43E4oDoaWQHYDQ,0034TaI45K3dHDFQ7H,,01tKjpEkxySpvI7IVL
500RQAJewSnaAHRQOG,56,Access configuration,New,High,Email,Feature Request,Other,Clarence C. Vargas,clarence-c.vargas.40-3476@example.invalid,Request for assistance with access configuration in a synthetic environment.,,2026-04-29T07:40:32Z,0,001lppe6kqinEz1A7H,02i0kVCh166UqOVQOZ,0038KoaB9nxZsSwIJL,,01t5RWDmHRgJiIMYJP
500A3YTDTZM62bhY4Z,57,Billing question,Closed,Medium,Phone,Question,Installation,Catherine T. Hensley,catherine-t.hensley.10-2199@example.invalid,Request for assistance with billing question in a synthetic environment.,2025-02-09T00:33:21Z,2025-01-25T05:41:07Z,1,0011JBrPJ5YTub6QBD,02iVnctguX5iDTlQF9,0033kWpI3o5xgVEYRX,,01tRmAU3fmNV1CqYPI
500EyGqdiPuwMlaYFW,58,Performance review,Escalated,Medium,Phone,Question,User Education,Steven R. Jimenez,steven-r.jimenez.86-2307@example.invalid,Request for assistance with performance review in a synthetic environment.,,2025-07-25T10:38:35Z,0,001kpkteJ4XLaaYQTV,02inLZsIhT82wEEYSY,003uNABTA3HDsNTQ1G,,01t4at7lw4j5FweYL1
500ofA9nvaaz8geICM,59,Access configuration,Escalated,High,Web,Problem,Installation,William K. Bryan,william-k.bryan.22-4949@example.invalid,Request for assistance with access configuration in a synthetic environment.,,2022-08-23T04:20:10Z,0,0010jBSxx9cNJfJI6H,02i4pJhPNH0GfpmY53,003gSDQC7SFWB75I3N,,01t3PUJZJM7z7ogYQW
500pWed3ZmkRKVXQHO,60,Performance review,Closed,High,Phone,Feature Request,Performance,Amanda A. Wells,amanda-a.wells.71-0248@example.invalid,Request for assistance with performance review in a synthetic environment.,2024-10-15T10:05:02Z,2024-09-18T19:40:53Z,1,001CAfL4eM9INwqAJY,,003nEEZpEHQMiNGIEO,,01tDBFsgsRefO2HYYS
500b7WkeETd1S8pY8L,61,Service request,New,Medium,Email,Problem,Installation,Robert E. Jenkins,robert-e.jenkins.01-4163@example.invalid,Request for assistance with service request in a synthetic environment.,,2025-08-06T14:18:24Z,0,0012Sv7fgBrqn2tAX8,02iFfRMlsLUO0lEA4D,003YdRU4gZrocWZQU5,500d60sfyL3SRATAFF,01tFkHMuj8shz13IXI
500oU7yPyOgCUIOA7N,62,Service request,Closed,High,Email,Problem,Installation,Kellie J. Vaughn,kellie-j.vaughn.75-5073@example.invalid,Request for assistance with service request in a synthetic environment.,2022-03-22T09:30:15Z,2022-03-12T20:17:31Z,1,001Ee8rMt958Fh9Y0A,,003TCFOwwx3mRARI3Z,,01tjSACLq3F7ixDIVX
500FAHnImTn01qkY6Y,63,Integration setup,New,Low,Phone,Feature Request,User Education,Brent M. Little,brent-m.little.40-2408@example.invalid,Request for assistance with integration setup in a synthetic environment.,,2023-12-19T16:58:31Z,0,001ZY5fWAv2Bxc1Q9C,,003y6ePFePqAiqhAK6,,01tfpNseevgyHG4I4H
500tgQrPa0OBC2tYNM,64,Access configuration,New,Low,Phone,Question,User Education,Jacob J. Mcdowell,jacob-j.mcdowell.83-2464@example.invalid,Request for assistance with access configuration in a synthetic environment.,,2021-04-11T00:40:05Z,0,001H2ifRi7MnAnLIKL,02iDxsIFnu36wqgAGO,003oylSB1JB6P0eQ9K,500u9M7NNlGigQeATJ,01tow8y2sel8hLYA1C
500Q5LLkeV4Lqo7AEA,65,Billing question,Working,Low,Phone,Problem,User Education,Thomas E. Smith,thomas-e.smith.40-0797@example.invalid,Request for assistance with billing question in a synthetic environment.,,2021-10-08T22:04:48Z,0,001RUYGIDukMN3HIZS,02iaaTKPn1l4LdsI9Q,003Ja3ZcU2GKYT0ASX,,01taesqWUDciy5yISU
500wrP3FKWu1E6MYGA,66,Service request,Closed,Low,Web,Problem,Installation,Katherine J. Gill,katherine-j.gill.96-1856@example.invalid,Request for assistance with service request in a synthetic environment.,2025-03-19T08:39:52Z,2025-02-20T19:29:16Z,1,001j6nRokzRlCs1Y07,02i3ynvezuIr0ovAJ2,003Dz5d7asr4M7HIIG,,01tKjpEkxySpvI7IVL
500hGT4xb2LvRIWQWA,67,Performance review,Working,Medium,Email,Feature Request,User Education,Robert J. Hansen,robert-j.hansen.88-4221@example.invalid,Request for assistance with performance review in a synthetic environment.,,2024-06-21T11:04:02Z,0,001F0HyTq0ZVe9LIP9,02iyEgUShryKhCCQBE,003VtyW41eLCT25YCC,,
500CzdFs2SZLr4MAAY,68,Billing question,New,Low,Phone,Problem,Performance,Victoria V. Rice,victoria-v.rice.64-1801@example.invalid,Request for assistance with billing question in a synthetic environment.,,2025-09-20T08:03:27Z,0,001tvKQbYklnB9tY2P,02i20VHM3VUBJceY1H,0036yjsLkZjdCzzQXA,,01tJs4IP4KXGpqSYC5
500soCGkCTJ00RqYQ7,69,Integration setup,Closed,Low,Web,Feature Request,Other,Bradley C. Young,bradley-c.young.69-9775@example.invalid,Request for assistance with integration setup in a synthetic environment.,2021-10-11T13:44:16Z,2021-10-02T19:37:59Z,1,0012B0IsTb8G7BVAST,02i3qLrmdE2xhueA0S,0037M62rbyqrXEmYO4,,01tfpNseevgyHG4I4H
500q3NMOwGfjHfKY4Q,70,Service request,New,Low,Email,Question,Installation,Ricky A. Bennett,ricky-a.bennett.36-9014@example.invalid,Request for assistance with service request in a synthetic environment.,,2023-05-19T01:12:44Z,0,001GIi2sHi8hI1AQ7T,02ir8ZuZvI3wilmIXK,003qf4McL0zrGCBQZ8,,01t83HgB02KFAPlQZ2
500BJPcoDjt0tFLIHU,71,Access configuration,Escalated,Low,Phone,Problem,Installation,Angelica C. Clark,angelica-c.clark.28-6828@example.invalid,Request for assistance with access configuration in a synthetic environment.,,2023-04-24T14:53:57Z,0,001e0UGOTVraqTKQN3,,003t3juN7QKh8rJYLV,,01tzXDuwSIeVNvXQKW
500HyWeaywE0DIsYJT,72,Performance review,Working,Low,Web,Question,Other,Michelle J. Smith,michelle-j.smith.37-651@example.invalid,Request for assistance with performance review in a synthetic environment.,,2023-03-08T01:12:19Z,0,001GNV0b9i7XYItYU8,,0039HqdA25qDPmIIZ3,500mGHqGh6WJEY2IQ1,
500WV27zsktTMjNYSN,73,Performance review,Working,Low,Web,Question,Performance,Brandon J. Gutierrez,brandon-j.gutierrez.01-1394@example.invalid,Request for assistance with performance review in a synthetic environment.,,2024-04-08T16:26:20Z,0,001OLdGcwV4anrfQXZ,02iXw0omTFXktTcQMC,003IRcIztJ57xyuADT,,01t8I3IcAgR0TlmYMW
500esz8JXCNHFa1YCI,74,Billing question,Working,Medium,Web,Feature Request,User Education,Lisa E. Norton,lisa-e.norton.23-329@example.invalid,Request for assistance with billing question in a synthetic environment.,,2022-11-15T12:01:47Z,0,001oPLQgL6DtzXuQJ9,02ikIdFsrXsyuEBIRY,003iBfF1piSXCNjIF4,,01tLLupYH2DWeh5IGW
500DiO6O33gV4ipIFE,75,Service request,Working,Low,Web,Feature Request,Performance,Paige T. Nelson,paige-t.nelson.09-0163@example.invalid,Request for assistance with service request in a synthetic environment.,,2024-08-10T23:30:31Z,0,001jIiXAhBEHXIPYQP,02iLFpS5I8QozgOQF0,003ShRsGpj163ooYM7,,01tAY0rfSqXmKmlI0S
500GTzgezetfgClI7T,76,Integration setup,Working,Medium,Email,Question,Other,Samuel J. Peterson,samuel-j.peterson.46-9812@example.invalid,Request for assistance with integration setup in a synthetic environment.,,2022-01-09T03:48:56Z,0,001j6nRokzRlCs1Y07,02iMERLInvcuhRGYX1,,,01tJCv6SzssB7KyQZG
500s5jWCEZGeccNQGX,77,Service request,Closed,Medium,Web,Feature Request,Installation,Christopher H. Cole,christopher-h.cole.14-0074@example.invalid,Request for assistance with service request in a synthetic environment.,2022-02-02T12:00:54Z,2022-02-01T18:19:05Z,1,001OofCnV7AgAXeQDE,,003CvuHFadBlBDpI4U,,01tKjpEkxySpvI7IVL
